email,first_name,website,ref_url,provider,valid_mx
jobs@digitalsilk.com,Digital,https://digitalsilk.com,https://scribtly.com/ref/27961f1e5bafda455da272a0723dce62,Microsoft 365,yes
fo@agroup.com,The,https://agroup.com,https://scribtly.com/ref/333f6c53c4e695e664b11a9938913bfc,Microsoft 365,yes
hello@brandarrowagency.com,Brandarrow,https://brandarrowagency.com,https://scribtly.com/ref/92bf8496d22ed426a49d5cdc6cb8444d,Zoho Mail,yes
contact@extrovert.gr,EXTROVERT,https://extrovert.gr,https://scribtly.com/ref/6ffb2402e854652a3fef8c4d76bd9b29,Microsoft 365,yes
kmedin@adaptdigitalmarketing.com,Adapt,https://adaptdigitalmarketing.com,https://scribtly.com/ref/2463d1ddf7cff3861879e4bc8fbbf2fe,Custom / Other,yes
info@binocularroom.com,BINOCULAR,https://binocularroom.com,https://scribtly.com/ref/46870374313524b7afd5b5c8ebe78a43,Microsoft 365,yes
info@virtualnetia.com,Virtualnetia,https://virtualnetia.com,https://scribtly.com/ref/e5ca8e838ce9ed363444e03f2464c55b,Custom / Other,yes
info@advertary.gr,Advertary,https://advertary.gr,https://scribtly.com/ref/3fdb0f90423a8299beab3b9850e914ef,Custom / Other,yes
info@kalsonmedia.com,Kalson,https://kalsonmedia.com,https://scribtly.com/ref/03d889450357804ae7ac0bc922044b6d,Microsoft 365,yes
info@reputation.ca,Reputation.ca,https://reputation.ca,https://scribtly.com/ref/e3cf35e870aaba991545114cdbf7dfd2,Google Workspace,yes
hello@originfilms.ca,Origin,https://originfilms.ca,https://scribtly.com/ref/e233acd91750ab1d79fa9cb3bd353eb4,Google Workspace,yes
contact@hicom-asia.com,HI-COM,https://hicom-asia.com,https://scribtly.com/ref/9d7e6e753e08b1d51f7beb7b36649b1a,Custom / Other,yes
info@vcanaglobal.com,Vcana,https://vcanaglobal.com,https://scribtly.com/ref/bbfa9c3a990fd61cd46b68db9c4bda31,Custom / Other,yes
marc.keezer@honeymarketing.com,Honey,https://honeymarketing.com,https://scribtly.com/ref/0095421ef041737f946f39131164d364,Google Workspace,yes
info@runlocalmarketing.com,RunLocal,https://runlocalmarketing.com,https://scribtly.com/ref/54cef10941b5bc0931cd3945c1963a12,Google Workspace,yes
info@cdtechnology.ca,Canadian,https://cdtechnology.ca,https://scribtly.com/ref/daa7f2d162df7e6b016abe8d0b8230ea,Google Workspace,yes
lucy@beseenbefound.co.uk,Be,https://beseenbefound.co.uk,https://scribtly.com/ref/4d585dec5ac863e9c645ae2c42336a2f,Custom / Other,yes
sales@zealmedia.ca,Zeal,https://zealmedia.ca,https://scribtly.com/ref/5e50574e7dee0017ee92b71998116fe2,Zoho Mail,yes
info@pretobusiness.com,PRETO,https://pretobusiness.com,https://scribtly.com/ref/e84a74500d0b1052b21d8f4da0fe5cb5,Custom / Other,yes
info@tekli.co,Tekli,https://tekli.co,https://scribtly.com/ref/6d29286c7e1d3b057e1bac2890569c49,Google Workspace,yes
enelin@vivianagency.com,Vivian,https://vivianagency.com,https://scribtly.com/ref/b68c534af394d3f6f97945226911faed,Google Workspace,yes
hello@amrsoftec.com,AMR,https://amrsoftec.com,https://scribtly.com/ref/3f09fe8d90dfd29d20a7d723747e7b6c,Google Workspace,yes
brandon@nuoptima.com,NUOPTIMA,https://nuoptima.com,https://scribtly.com/ref/5fd0bc9b31e05119bf71866cd3201e81,Google Workspace,yes
hello@altlier.com,Altlier,https://altlier.com,https://scribtly.com/ref/bbe73b72e5ec9c853896d5ee23326969,Custom / Other,yes
support@tjdigitalagency.com,Tj,https://tjdigitalagency.com,https://scribtly.com/ref/b1c8070ad50a7637439a0df63a2858e9,Custom / Other,yes
sales@crushsocialagency.com,Crush,https://crushsocialagency.com,https://scribtly.com/ref/6a849f92a26d48f9dd5e61cbfec95a6f,Invalid MX,no
info@imbdagency.com,IMBD,https://imbdagency.com,https://scribtly.com/ref/90fc558c4419e29d9e39bab0104f9cae,Custom / Other,yes
info@propeller.co.uk,Propeller,https://propeller.co.uk,https://scribtly.com/ref/d0098b092499ee11c36de2450f975788,Google Workspace,yes
sales@q1media.com,Q1Media,https://q1media.com,https://scribtly.com/ref/55cffcc5b99829b71a6b2bb2c2517852,Custom / Other,yes
hello@vie.media,VIE,https://vie.media,https://scribtly.com/ref/b2bc231f5012e98fa538587e01640b62,Google Workspace,yes
info@bluearcher.com,Blue,https://bluearcher.com,https://scribtly.com/ref/45a6b3bf1a0597534a82091359ba922b,Microsoft 365,yes
admin@talatech.io,TalaTech,https://talatech.io,https://scribtly.com/ref/6a6555eb2a80cc64dc0a1e5fc3a4435e,Google Workspace,yes
support@mwdwebs.com,MWD,https://mwdwebs.com,https://scribtly.com/ref/48eac26194283b5d1bfbb7f97f1b369b,Microsoft 365,yes
office@kiklab.com,KIKLAB,https://kiklab.com,https://scribtly.com/ref/723b50bec644b256f10bbf935b620e57,Custom / Other,yes
hello@granite-films.com,Granite,https://granite-films.com,https://scribtly.com/ref/c32bbf01406c2d8be57e2959b3680a64,Google Workspace,yes
contact@resourcepad.ca,ResourcePad,https://resourcepad.ca,https://scribtly.com/ref/6e6a933b42a546004862e4df30a6e4a9,Custom / Other,yes
studio@rcco.uk,RCCO,https://rcco.uk,https://scribtly.com/ref/d2959ea1eead41c4a71d10f1da8b7525,Google Workspace,yes
info@sedidigital.co.ke,Sedi,https://sedidigital.co.ke,https://scribtly.com/ref/e2ffb73f060e4e8dbe2f805dc6bde86e,Zoho Mail,yes
