email,status,confidence,catch_all,role_based,methods,detail,provider,agency,website,first_name,ref_url
info@viralproglobal.com,invalid,0,no,yes,,port587 503 sender not yet given,Custom / Other,Viral Pro Global Private Limited,https://viralproglobal.com,Viral,https://scribtly.com/ref/8083adf4d3eb462aff0a7677d08e8edc
info@qtechnetworks.com,invalid,0,no,yes,,port587 503 sender not yet given,Custom / Other,QTech Networks,https://qtechnetworks.com,QTech,https://scribtly.com/ref/8a21426cb6b642ad3fdccc3b5f7995f2
info@insightcraftsmarketing.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Insight Crafts Marketing,https://insightcraftsmarketing.com,Insight,https://scribtly.com/ref/dc085045a9506767d3d44b40ed2e871d
info@nexomos.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Nexomos,https://nexomos.com,Nexomos,https://scribtly.com/ref/b9b967bb0df80be4473d559ce6fd8c68
bgv@iotainfotech.com,valid,50,no,no,,ports_blocked,Custom / Other,iOTA,https://iotainfotech.com,iOTA,https://scribtly.com/ref/bf032202dd0b2f85f861c9295562b1e1
hello@wikid.ie,invalid,0,no,yes,,port587 503 sender not yet given,Custom / Other,The Wikid Agency,https://wikid.ie,The,https://scribtly.com/ref/79052e60cf59a8d60efe449a119ea1d3
info@caidenmedia.com,invalid,0,no,yes,,"port587 550 relay not permitted, authentication required",Custom / Other,Caiden Media,https://caidenmedia.com,Caiden,https://scribtly.com/ref/2074b75c7abe7d5da0e8ab32a78fcd11
info@addzet.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,ADDZET ADVERTISING & MEDIA,https://addzet.com,ADDZET,https://scribtly.com/ref/14390f7066586cdc0791df47a1e5dafe
careers@triviumpr.com,valid,50,no,no,,ports_blocked,Custom / Other,Trivium PR,https://triviumpr.com,Trivium,https://scribtly.com/ref/4f3c7e38f1548c1b6931d7ff25fb92e8
info@zelencommunications.com,catch_all,42,yes,yes,smtp_587_catchall,port587 250,Custom / Other,Zelen Communications,https://zelencommunications.com,Zelen,https://scribtly.com/ref/5b4aa0f48550e778d4a48dd90ab9382f
info@pxp.dev,catch_all,38,yes,yes,smtp_587_catchall,port587 250,Custom / Other,PXP,https://pxp.dev,PXP,https://scribtly.com/ref/8e82d41422caff5891667b0682b296a3
info@peartreeusa.com,unknown,42,no,yes,,ports_blocked,Custom / Other,PearTree Design,https://peartreeusa.com,PearTree,https://scribtly.com/ref/e988eca83fea5dff15721e1216cb0188
info@searchbloom.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Searchbloom,https://searchbloom.com,Searchbloom,https://scribtly.com/ref/0bdd2eb04b24454974a77176a57c6c84
hello@rightgirlmedia.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Right Girl Media,https://rightgirlmedia.com,Right,https://scribtly.com/ref/e123762c96a57da09f9d96b0005563f8
ben@marzipan.com.au,unknown,30,no,no,,ports_blocked,Google Workspace,Marzipan,https://marzipan.com.au,Marzipan,https://scribtly.com/ref/329bb470c8a2e2ebcd6310c66d95474c
amna@earthryse.com,unknown,40,no,no,,ports_blocked,Google Workspace,Earthryse,https://earthryse.com,Earthryse,https://scribtly.com/ref/3783cf836983307de871f02eda1aa804
info@beamcreative.com.au,unknown,34,no,yes,,ports_blocked,Google Workspace,Beam Creative Brands,https://beamcreative.com.au,Beam,https://scribtly.com/ref/b3120aed63416aef02d091a6e0ed160f
contato@saulodecastro.tv,unknown,40,no,no,,ports_blocked,Custom / Other,Saulo de Castro,https://saulodecastro.tv,Saulo,https://scribtly.com/ref/15831b6dd29d191f0e51f4dd0d90f8e7
contact@cloud1marketing.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Cloud1Marketing,https://cloud1marketing.com,Cloud1Marketing,https://scribtly.com/ref/263cf7e0b4bafa3bac213ef576f977c3
info@rdlcmarketing.com,unknown,25,no,yes,,ports_blocked,Google Workspace,RDLC Marketing,https://rdlcmarketing.com,RDLC,https://scribtly.com/ref/955ac2b19878e719d9d3c615436c7295
info@echofetch.com,unknown,42,no,yes,,ports_blocked,Google Workspace,EchoFetch LLC,https://echofetch.com,EchoFetch,https://scribtly.com/ref/be17edef6cbcb040e8eda66822ea17a8
hello@mauimarketing.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Maui Marketing,https://mauimarketing.com,Maui,https://scribtly.com/ref/ef299f8d906f621f30d4728b746c7e4c
help@newsreach.in,unknown,42,no,yes,,ports_blocked,Google Workspace,NewsReach - PR Agency,https://newsreach.in,NewsReach,https://scribtly.com/ref/2de7c8a75a18421add23b6c529de31d4
contact@growithamazon.com,unknown,34,no,yes,,ports_blocked,Zoho Mail,Grow With Amazon,https://growithamazon.com,Grow,https://scribtly.com/ref/a43dc625e1d8c8f8a32d80fd08b78b76
info@twitchtime.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Twitchtime,https://twitchtime.com,Twitchtime,https://scribtly.com/ref/a6b07926470f8c985614fa2c2822739c
info@elatre.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Elatre Creative Marketing Agency,https://elatre.com,Elatre,https://scribtly.com/ref/f9eb23ea026eb1f41c0eee73ab25549e
info@disruptiveadvertising.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Disruptive Advertising,https://disruptiveadvertising.com,Disruptive,https://scribtly.com/ref/9c41c4624a9bad80c3c8f488ca6db3b7
info@ocopix.com,unknown,34,no,yes,,ports_blocked,Custom / Other,Ocopix,https://ocopix.com,Ocopix,https://scribtly.com/ref/677087ff5af6b69528316cdd2f4259c1
hola@holymarketing.agency,unknown,40,no,no,,ports_blocked,Google Workspace,Holy Marketing,https://holymarketing.agency,Holy,https://scribtly.com/ref/dc4fb902abc4d46552881b666600a8e6
info@maderightmedia.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Made Right Media,https://maderightmedia.com,Made,https://scribtly.com/ref/c41a80c400745caa7812c5a0b5da7da7
info@vovi.studio,unknown,25,no,yes,,ports_blocked,Google Workspace,Vovi Studio,https://vovi.studio,Vovi,https://scribtly.com/ref/ef4320c191a74d9f0d9f127433c7b237
info@kingwillystudios.com,unknown,34,no,yes,,ports_blocked,Google Workspace,King Willy,https://kingwillystudios.com,King,https://scribtly.com/ref/df62ef5dfbc15a62499e131ca042d182
ryan@notforyoufilms.com,unknown,40,no,no,,ports_blocked,Google Workspace,Not For You Films,https://notforyoufilms.com,Not,https://scribtly.com/ref/684b13a50cc9bc8565c61370d313746c
info@digitalselectives.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Digital Selectives,https://digitalselectives.com,Digital,https://scribtly.com/ref/4a2171f848fd76cd82d0ded447264bf0
chidansh@prinjaipur.com,unknown,40,no,no,,ports_blocked,Google Workspace,SR Public Relations,https://prinjaipur.com,SR,https://scribtly.com/ref/79edbe1870a3954ce9c840ff8aa8ad94
info@digitaltriumphs.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Digital Triumphs,https://digitaltriumphs.com,Digital,https://scribtly.com/ref/bf1e17e02039f844c27a0b276b6feb0c
hello@inaridigital.com,unknown,34,no,yes,,ports_blocked,Google Workspace,INARI Digital,https://inaridigital.com,INARI,https://scribtly.com/ref/25c4d64f8f281bce502e5b0a1b1fbd93
info@designfirebrand.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Firebrand,https://designfirebrand.com,Firebrand,https://scribtly.com/ref/7c389084897ed3a79cacac095e3f4ffe
info@digibitz.com.au,unknown,42,no,yes,,ports_blocked,Custom / Other,Digibitz,https://digibitz.com.au,Digibitz,https://scribtly.com/ref/4f50ff311acc53a6ce81428e9f20281e
info@leoceros.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Google Workspace,Leoceros,https://leoceros.com,Leoceros,https://scribtly.com/ref/24b7d7871826770f0bf6bb666f9aa1d9
arpitakarmakar@newscoverage.agency,invalid,0,no,no,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,News Coverage Agency,https://newscoverage.agency,News,https://scribtly.com/ref/9ddd73fa15a256ff0dcad2a4d50e6ed9
info@qubedigitalmedia.co.uk,invalid,0,no,yes,,port587 554 5.7.1 <info@qubedigitalmedia.co.uk>: Relay access denied,Custom / Other,Qube Digital Media,https://qubedigitalmedia.co.uk,Qube,https://scribtly.com/ref/437fcb1d56a9c2e4fb759e620af185e4
info@wnt.agency,unknown,34,no,yes,,ports_blocked,Google Workspace,Walnut Agency,https://wnt.agency,Walnut,https://scribtly.com/ref/2155128b5baa170a1f0e6919ba35f3e6
info@thegreatgrowth.com,unknown,42,no,yes,,ports_blocked,Google Workspace,The Great Growth,https://thegreatgrowth.com,The,https://scribtly.com/ref/a9510f011ed6eeebbbcba11b4f6cdee6
sales@funnelboostmedia.net,unknown,42,no,yes,,ports_blocked,Google Workspace,Funnel Boost Media,https://funnelboostmedia.net,Funnel,https://scribtly.com/ref/e6b9c909962b4accc783f81ab54ea3c5
